age,gender,knowent,opport,suskill,fearfail,bstart,exreason,nbmedia,nbstatus,discent
41,1,2,2,2,1,1,1,1,2,1
32,2,1,2,2,1,1,0,1,2,0
38,2,2,1,2,1,1,0,2,2,0
43,2,1,1,1,2,1,0,2,2,0
58,2,1,1,1,2,1,2,2,2,1
45,2,1,1,2,2,1,0,2,2,0
53,2,2,1,2,2,1,0,2,2,0
99,1,2,1,2,2,1,0,2,2,0
53,1,2,2,2,2,1,0,2,2,0
98,1,2,1,2,2,1,0,2,2,0
99,1,2,1,2,2,1,0,2,2,0
70,2,1,1,1,2,1,0,2,2,0
25,2,2,1,1,2,1,0,2,2,0
68,2,1,1,1,2,1,0,2,2,0
38,2,2,1,2,2,1,0,2,2,0
39,1,2,1,1,2,1,0,2,2,0
99,1,1,1,2,2,1,0,2,2,0
44,1,2,2,2,2,1,2,2,2,1
99,1,1,1,2,2,1,0,2,2,0
59,2,2,2,1,1,1,0,1,2,0
23,2,1,1,1,1,1,0,2,2,0
33,1,2,2,2,1,2,0,2,2,0
33,2,1,1,2,1,1,0,2,2,0
42,2,2,1,2,1,1,0,1,2,0
31,2,1,2,2,1,2,0,2,2,0
36,2,2,1,1,2,1,0,2,2,0
43,1,2,2,2,1,1,2,2,2,1
41,2,2,2,2,2,1,0,2,2,0
98,2,2,2,2,1,1,0,2,2,0
24,2,2,2,2,1,1,0,2,2,0
35,1,2,1,1,2,1,0,2,2,0
57,2,2,1,2,2,1,1,2,2,1
48,2,2,1,2,2,1,0,2,2,0
32,1,1,1,2,2,1,0,2,2,0
40,1,2,1,2,2,1,0,2,2,0
25,2,2,1,2,2,1,0,2,2,0
38,2,1,1,2,2,1,0,2,2,0
42,1,1,1,2,2,1,0,2,2,0
38,1,1,1,2,2,1,0,2,2,0
45,1,1,1,2,2,1,0,2,2,0
29,2,1,1,2,2,1,0,2,2,0
68,2,1,1,1,1,1,0,2,2,0
38,2,2,1,2,2,1,0,2,2,0
69,2,1,1,1,2,1,2,2,2,1
23,2,2,1,1,2,1,0,2,2,0
41,1,1,1,2,2,1,0,2,2,0
52,2,2,1,2,2,1,0,2,2,0
83,2,2,1,1,2,1,1,2,2,1
45,2,1,1,2,2,1,0,2,2,0
50,1,1,1,1,1,1,0,2,2,0
51,2,2,1,2,2,1,0,2,2,0
22,2,2,2,2,1,1,0,2,2,0
22,2,2,2,2,2,2,0,2,2,0
37,1,2,2,2,2,1,0,2,2,0
31,2,1,1,2,2,1,0,1,2,1
64,1,1,1,1,1,1,0,1,1,0
41,2,2,2,2,2,1,0,2,1,0
49,1,2,2,2,2,1,0,1,2,0
22,2,2,2,2,2,2,0,2,2,0
45,2,1,2,2,1,1,0,2,2,0
33,1,2,2,2,2,1,0,2,2,0
42,2,2,2,2,2,1,4,2,2,1
61,2,1,2,2,2,1,9,1,2,1
31,1,1,1,1,1,1,0,1,2,0
20,2,2,2,2,2,1,0,2,2,0
26,2,2,2,1,2,1,0,2,1,0
41,2,1,1,1,2,2,0,1,1,0
19,2,2,2,1,2,1,0,1,1,0
56,2,2,2,2,2,1,4,2,2,1
35,2,2,1,1,2,2,0,2,2,0
42,2,2,2,2,2,2,0,1,1,0
62,2,2,2,1,1,1,4,2,1,1
67,2,2,2,2,2,1,9,1,2,1
45,2,2,1,1,2,1,0,2,2,0
40,2,2,2,2,2,2,0,1,2,0
43,1,1,2,1,1,1,0,1,1,0
57,2,2,1,2,2,2,0,2,2,0
22,2,2,2,2,2,1,0,1,2,0
33,2,2,2,2,1,1,0,2,2,0
22,2,2,2,1,2,1,0,2,2,0
30,2,1,2,1,1,1,0,2,2,0
30,2,2,2,2,1,1,0,2,2,0
29,2,2,2,1,2,1,0,2,2,0
33,2,2,1,1,1,1,5,2,2,1
32,2,2,1,2,2,2,0,2,2,0
42,2,1,2,1,1,1,0,2,2,0
46,2,2,2,1,1,1,0,2,2,0
56,2,2,2,2,2,1,8,2,2,1
46,2,1,2,2,1,1,0,2,2,0
34,1,1,2,2,2,1,0,1,1,0
25,1,1,2,1,1,1,0,2,2,0
21,2,1,2,2,2,2,0,1,2,0
20,1,1,2,2,2,2,0,2,2,0
30,2,2,2,2,1,1,0,2,2,1
41,2,2,1,2,1,1,8,2,2,1
27,1,1,2,1,1,2,0,1,1,0
25,2,2,2,2,2,2,5,2,2,1
32,1,2,2,2,1,1,4,1,2,1
23,1,2,2,2,2,2,0,2,2,0
25,2,2,2,2,1,2,0,1,2,1
30,2,1,2,2,1,2,0,1,2,0
41,2,2,1,1,1,2,0,2,2,0
40,2,2,1,2,2,2,0,1,2,0
32,1,2,2,1,1,1,0,2,1,0
31,2,2,2,2,1,2,0,2,2,0
30,2,2,2,2,1,2,0,2,2,0
30,2,2,2,2,1,2,0,2,2,0
24,1,2,2,2,1,2,0,2,2,0
48,2,2,1,1,1,1,5,2,2,1
32,2,2,2,2,1,1,5,2,1,1
33,1,2,2,2,1,1,0,1,2,0
31,2,2,1,2,2,1,0,2,2,0
43,2,2,2,2,1,1,5,1,1,1
25,2,2,2,2,1,2,0,1,2,0
41,1,2,2,2,1,1,5,1,2,1
21,2,2,2,2,1,1,0,2,2,0
46,2,2,2,2,1,1,0,1,2,0
36,1,2,2,2,1,1,0,1,1,0
22,2,2,2,1,1,2,0,1,2,0
30,1,1,1,1,1,2,0,2,1,0
27,2,2,1,1,1,1,8,1,2,1
40,2,1,2,1,2,1,1,2,2,1
57,2,2,2,1,2,1,8,2,2,1
23,2,1,2,1,1,2,0,1,1,0
31,2,2,2,2,2,1,0,2,1,0
21,2,2,2,2,2,2,0,2,2,0
43,2,1,2,2,1,1,0,2,2,0
45,2,2,2,2,1,1,0,2,2,0
30,2,1,2,2,1,2,0,2,2,0
52,2,2,2,2,1,2,0,2,1,1
26,1,2,2,2,1,2,0,2,2,1
32,1,2,2,1,2,1,0,2,2,0
39,2,2,2,1,2,1,0,2,2,0
34,2,2,2,2,1,1,0,2,2,0
98,1,2,1,1,1,1,0,1,1,0
50,2,2,2,1,1,2,0,2,2,0
50,2,1,2,2,1,1,0,1,2,0
99,2,2,2,2,2,2,3,2,2,1
20,2,2,2,2,1,1,0,2,1,0
50,2,2,2,2,1,2,2,2,2,1
28,2,2,2,2,1,2,0,2,2,0
26,2,1,1,2,1,2,0,1,2,0
37,2,2,1,2,1,1,0,2,2,0
30,2,2,1,2,2,1,0,1,2,0
52,2,2,2,2,1,2,0,2,1,0
38,2,2,2,2,1,2,0,2,1,0
40,2,1,2,2,1,1,0,1,2,0
42,1,2,1,2,1,1,0,2,2,0
37,1,1,1,1,1,1,0,1,1,0
38,2,1,1,1,1,1,0,2,2,0
35,2,1,1,1,1,1,0,2,2,0
22,1,2,1,1,2,1,0,2,2,0
30,2,1,1,1,1,1,0,2,2,0
22,2,1,1,1,1,1,0,1,1,0
38,2,2,2,1,1,1,0,1,1,0
58,1,1,1,1,1,1,0,1,1,0
40,1,1,1,1,1,1,0,1,2,0
52,1,1,1,1,1,1,0,1,1,0
47,1,1,1,1,2,1,0,1,1,0
38,2,1,1,1,1,1,0,1,1,0
26,1,1,1,1,1,1,0,1,1,0
37,2,1,1,1,1,1,0,1,1,0
60,1,1,1,1,1,1,0,1,1,0
31,1,1,1,1,1,1,0,1,1,0
32,1,2,2,2,1,2,0,1,2,0
37,1,2,2,2,1,2,0,1,2,0
59,2,1,2,2,1,1,0,1,2,0
30,1,2,2,2,1,1,0,2,2,0
34,1,2,1,2,1,1,0,2,2,0
32,2,1,1,1,1,1,0,2,2,0
21,2,1,2,2,1,2,0,2,2,0
18,1,1,1,1,2,1,0,1,2,0
58,1,2,1,1,1,1,0,2,2,0
30,2,2,1,2,1,2,0,2,2,0
50,2,1,1,2,1,1,0,2,1,0
38,2,2,1,2,1,1,0,1,2,0
55,1,1,1,1,1,1,0,1,1,0
40,2,1,1,1,1,1,0,2,2,0
33,1,1,2,2,1,2,0,2,2,0
26,1,2,2,2,1,1,0,2,2,0
32,2,1,2,2,1,1,0,2,2,0
25,2,1,1,1,1,1,0,2,2,0
48,1,2,2,2,1,1,0,2,2,0
40,2,2,2,2,1,1,0,2,2,0
24,2,1,1,1,1,1,0,2,2,0
32,1,1,1,1,1,1,0,2,2,0
18,2,2,2,2,1,2,0,2,2,0
56,2,1,1,2,2,1,0,2,2,0
54,2,1,1,1,1,1,0,2,2,0
42,2,2,2,2,1,1,0,2,2,0
30,1,2,2,2,1,1,0,2,2,0
40,2,2,2,2,1,1,0,2,2,0
24,1,1,1,1,1,1,0,2,2,0
50,2,1,1,1,1,1,0,2,2,0
62,1,1,1,1,1,1,0,2,2,0
42,1,1,1,1,2,1,0,2,2,0
60,2,1,2,1,1,1,0,2,2,0
45,1,2,2,2,1,1,0,2,1,0
28,1,2,2,2,1,1,0,2,2,0
35,2,1,1,2,1,1,0,2,2,0
62,1,1,1,2,1,1,0,2,2,0
62,2,2,1,2,1,1,0,2,2,0
21,1,1,1,2,1,1,0,2,2,0
18,1,2,2,2,1,1,0,2,2,0
33,1,2,2,2,1,1,0,2,2,0
33,1,2,2,2,1,1,0,2,2,0
43,2,2,2,2,1,1,0,2,2,0
49,1,2,2,2,1,1,0,2,2,0
25,2,2,1,1,2,1,0,2,2,0
55,2,2,1,2,1,1,0,2,2,0
31,2,1,1,2,1,1,0,2,2,0
31,1,2,2,2,1,1,0,2,2,0
30,1,1,2,2,1,1,0,1,2,0
54,2,1,2,2,2,2,0,2,1,0
38,1,1,1,2,2,2,0,1,2,0
49,2,1,1,2,2,1,0,1,2,0
60,1,1,1,1,2,1,0,1,2,0
25,2,1,1,2,2,1,0,2,1,0
40,1,1,1,2,1,1,0,2,2,0
40,1,1,1,1,2,1,0,1,2,0
32,1,1,2,2,1,2,0,1,2,0
40,1,2,2,1,2,1,0,2,2,0
21,1,1,2,1,1,1,0,2,2,0
18,1,1,2,2,1,1,0,2,2,0
20,1,2,1,2,1,1,0,1,2,0
48,2,2,1,2,1,1,1,2,2,1
40,1,1,2,1,1,1,0,2,2,0
18,1,2,1,1,2,1,0,1,2,0
62,2,2,1,2,1,2,0,2,2,0
64,1,1,1,2,1,1,0,2,1,0
35,1,2,2,1,2,1,0,2,1,0
27,2,2,1,2,2,1,0,1,2,0
30,1,1,2,2,2,1,0,2,2,0
33,2,1,2,2,2,2,4,2,2,1
32,2,2,2,2,1,2,0,1,2,0
24,1,1,1,1,2,2,0,2,2,0
43,2,1,1,1,2,1,0,2,2,0
49,2,1,2,1,2,1,0,2,2,0
45,1,2,2,2,2,1,0,2,2,0
27,2,1,1,2,1,1,0,2,2,0
50,2,1,1,2,1,1,0,2,1,0
51,2,1,2,2,1,1,0,2,2,0
45,2,1,2,2,1,1,6,2,1,1
48,1,1,1,2,1,1,0,1,2,0
55,2,1,1,2,2,1,0,2,2,0
28,2,2,2,2,1,1,0,2,1,0
63,2,1,2,2,1,1,0,2,2,0
38,2,1,1,1,1,1,0,2,2,0
45,2,1,1,2,2,1,0,2,2,0
48,2,1,1,2,2,1,0,2,2,0
42,2,1,1,2,1,1,0,2,1,0
34,1,1,1,1,2,1,0,2,2,0
23,1,1,2,1,2,1,0,2,2,0
21,2,2,1,1,1,1,0,2,1,0
25,2,1,1,1,2,1,0,2,1,0
28,1,1,1,1,2,1,0,2,2,0
56,1,1,1,1,2,1,0,2,2,0
54,2,2,1,2,2,1,0,2,2,0
18,1,1,1,1,2,1,0,2,2,0
19,2,2,1,2,2,1,0,2,1,0
34,2,1,1,1,2,1,0,2,1,0
25,2,1,1,2,2,1,0,2,2,0
25,1,1,1,1,1,1,0,2,2,0
30,1,1,1,1,1,1,0,2,2,0
40,2,1,1,2,1,1,0,2,1,0
24,1,1,1,1,1,1,0,1,1,0
22,1,1,1,1,1,1,0,1,2,0
38,1,1,1,1,1,1,0,1,1,0
45,1,1,1,1,1,1,0,2,2,0
36,1,1,1,1,1,1,0,2,1,0
40,2,1,1,1,1,1,0,2,2,0
18,2,1,1,1,1,1,0,2,2,0
20,1,1,1,1,1,1,0,1,2,0
21,1,1,1,1,1,1,0,2,2,0
19,1,1,1,1,1,1,0,2,2,0
25,1,1,1,1,1,1,0,2,2,0
19,1,1,1,1,1,1,0,2,1,0
35,1,1,1,1,1,1,0,1,1,0
18,2,1,1,1,1,1,0,1,1,0
37,2,1,1,1,1,1,0,2,1,0
27,1,1,1,1,2,1,0,2,1,0
58,1,1,1,1,2,1,0,2,1,0
18,2,1,1,1,1,1,0,1,1,0
30,1,1,1,1,1,1,0,1,1,0
40,1,1,1,1,1,1,0,1,1,0
31,1,1,1,2,1,1,0,1,1,0
34,2,1,1,2,1,1,0,1,1,0
27,1,1,1,1,1,1,0,1,1,0
22,1,1,1,1,1,1,0,1,2,0
40,1,1,1,1,1,1,0,1,1,0
35,2,1,1,1,1,1,0,2,2,0
33,2,1,1,1,1,1,0,2,2,0
38,2,1,1,1,1,1,0,1,1,0
18,2,1,1,1,1,1,0,2,2,0
22,2,1,1,1,1,1,0,2,2,0
22,2,1,1,1,1,1,0,2,2,0
23,2,1,1,1,2,1,0,1,1,0
33,1,1,1,1,1,1,0,1,1,0
45,2,1,1,1,1,1,0,2,2,0
40,1,1,1,1,2,1,0,1,1,0
35,2,1,1,1,1,1,0,2,1,0
59,1,1,1,1,1,1,0,1,1,0
60,1,1,1,1,1,1,0,2,2,0
18,2,1,1,1,1,1,0,2,2,0
32,1,1,2,1,1,1,0,2,2,0
24,2,2,1,2,2,1,0,1,2,0
36,1,1,1,1,1,1,0,2,2,0
18,2,1,1,1,1,1,0,2,2,0
45,1,1,1,1,1,1,0,1,1,0
55,2,1,1,1,1,1,0,2,2,0
60,1,1,2,2,1,1,0,2,1,0
19,1,2,2,1,2,1,0,2,1,0
21,1,1,2,2,1,1,0,2,1,0
34,1,1,1,1,1,1,0,2,2,0
45,1,2,2,1,1,1,0,1,2,0
53,2,2,2,1,2,1,0,2,1,0
30,1,2,2,1,2,1,0,2,1,0
19,1,2,2,1,2,1,0,2,1,0
21,2,2,1,1,2,1,0,2,1,0
22,2,1,1,1,1,1,0,2,2,0
58,2,2,2,1,1,1,0,2,1,0
30,2,1,1,1,1,1,0,2,2,0
26,2,1,1,1,1,1,0,2,2,0
30,2,2,2,1,1,1,0,2,1,0
41,2,1,1,1,1,1,0,2,2,0
46,2,1,1,1,1,1,0,2,2,0
45,2,1,1,1,1,1,0,1,2,0
24,2,1,2,1,1,1,0,1,1,0
30,2,2,1,2,1,1,0,1,1,0
27,2,1,2,2,2,2,0,2,1,0
27,1,1,1,1,1,1,0,2,2,0
44,2,1,1,1,2,1,0,2,2,0
20,1,1,1,1,2,1,0,2,2,0
45,2,1,1,1,2,1,0,2,2,0
31,1,1,1,1,1,1,0,1,1,0
48,1,1,1,1,1,1,0,1,2,0
22,2,1,1,1,1,1,0,2,1,0
28,2,1,1,1,1,1,0,1,1,0
30,2,1,1,2,1,1,0,2,1,0
25,2,1,1,1,2,1,0,2,1,0
25,2,1,1,2,1,1,0,2,1,0
22,2,1,1,1,1,1,0,1,1,0
20,2,1,1,1,2,1,0,2,1,0
28,2,1,1,1,2,1,0,2,2,0
19,2,1,1,1,2,1,0,2,2,0
18,2,1,1,1,2,1,0,2,1,0
30,2,1,1,1,2,1,0,1,2,0
34,2,1,1,1,2,1,0,2,2,0
21,2,1,1,1,1,1,0,2,2,0
30,2,1,1,1,2,1,0,2,2,0
29,2,1,1,2,1,1,0,2,2,0
25,2,1,1,1,2,1,0,2,2,0
25,2,1,1,1,2,1,0,2,2,0
28,2,1,1,1,2,1,0,2,1,0
25,2,1,1,1,2,1,0,2,2,0
29,2,1,1,1,2,1,0,2,2,0
28,2,1,1,1,2,1,0,2,2,0
18,2,1,1,1,1,1,0,1,2,0
18,2,1,1,1,2,1,0,2,2,0
21,2,1,1,1,2,1,0,2,1,0
18,2,1,1,1,2,1,0,1,1,0
21,2,1,1,1,1,1,0,1,1,0
18,2,1,1,1,2,1,0,2,2,0
19,2,1,1,1,2,1,0,2,1,0
19,2,1,1,1,2,1,0,2,2,0
22,2,1,1,1,1,1,0,2,2,0
24,2,1,1,1,2,1,0,2,2,0
18,2,1,1,1,2,1,0,2,2,0
23,2,1,1,1,2,1,0,2,1,0
25,2,1,1,1,1,1,0,1,1,0
31,1,1,1,1,1,1,0,1,1,0
26,2,1,1,1,1,1,0,1,1,0
18,2,1,1,1,1,1,0,1,2,0
23,2,2,2,1,1,1,0,2,1,0
32,1,1,1,1,1,1,0,1,2,0
48,2,1,1,1,2,1,0,2,2,0
43,1,1,1,1,2,1,0,2,2,0
30,1,1,1,1,2,1,0,1,2,0
37,1,1,1,1,1,1,0,2,1,0
49,1,1,1,1,1,1,0,2,2,0
28,1,1,1,1,2,1,0,2,2,0
25,1,1,1,1,1,1,0,2,2,0
19,1,1,1,1,2,1,0,2,2,0
34,1,1,1,1,2,1,0,2,2,0
48,2,1,1,1,1,1,0,1,2,0
20,2,1,1,1,1,1,0,1,2,0
25,1,1,1,1,2,1,0,2,2,0
37,1,1,1,2,1,1,0,2,2,0
21,1,1,1,1,2,1,0,2,1,0
48,2,1,1,1,2,1,0,2,2,0
30,1,1,1,1,1,1,0,1,2,0
25,2,1,1,1,1,1,0,1,2,0
25,2,1,2,1,1,1,0,2,1,0
41,2,1,1,2,1,1,0,2,2,0
40,2,1,1,1,1,1,0,1,2,0
37,1,1,2,1,1,1,0,1,1,0
37,1,1,1,1,2,1,0,2,2,0
45,2,1,1,1,1,1,0,2,2,0
30,1,1,1,1,1,1,0,1,1,0
24,2,1,1,1,2,1,0,1,2,0
45,1,1,1,1,1,1,0,1,1,0
50,1,1,1,1,1,1,0,2,1,0
32,1,1,1,1,1,1,0,2,1,0
41,2,1,1,1,1,1,0,1,1,0
26,1,1,1,1,1,1,0,1,1,0
30,1,1,1,1,1,1,0,1,1,0
20,2,1,1,1,1,1,0,2,2,0
24,1,1,1,1,1,1,0,1,1,0
20,1,1,1,1,2,1,0,2,1,0
35,1,1,1,1,1,1,0,1,2,0
24,1,1,1,1,2,1,0,2,1,0
30,1,1,1,1,2,1,0,2,2,0
45,1,1,1,1,2,1,0,2,2,0
30,1,1,1,1,1,1,0,2,2,0
45,2,1,1,1,1,1,0,2,1,0
29,1,1,1,1,2,1,0,2,2,0
62,2,1,1,1,1,1,0,2,1,0
26,1,1,1,1,2,1,0,2,2,0
28,1,1,1,1,2,1,0,2,2,0
36,1,1,1,1,1,1,0,2,2,0
55,1,1,1,1,2,1,0,1,2,0
30,1,1,1,1,2,1,0,2,2,0
42,2,1,1,1,1,1,0,2,2,0
22,1,1,1,1,1,1,0,2,2,0
27,2,1,1,1,2,1,0,1,2,0
38,1,1,1,1,1,1,0,2,1,0
27,1,1,1,1,2,1,0,2,2,0
40,1,1,1,1,2,1,0,2,1,0
55,2,1,1,1,2,1,0,2,2,0
35,1,1,1,1,2,1,0,2,1,0
32,1,1,1,1,2,1,0,2,1,0
21,1,1,1,1,2,1,0,2,2,0
42,1,1,1,1,1,1,0,1,1,0
28,2,2,2,2,1,1,0,1,2,0
24,2,2,1,1,1,1,0,1,1,0
35,2,1,1,1,1,1,0,1,1,0
22,2,1,1,1,1,1,0,1,1,0
45,2,2,1,1,1,1,0,1,1,0
60,1,1,1,1,1,1,0,1,1,0
32,1,1,1,1,1,1,0,1,2,0
19,1,1,1,1,1,1,0,1,2,0
46,1,1,2,2,2,1,0,2,2,0
32,1,1,1,2,1,1,0,2,1,0
29,1,1,1,1,1,1,0,2,2,0
24,2,1,2,1,2,1,0,1,2,0
33,2,1,2,1,1,1,0,2,1,0
46,1,1,1,1,1,1,0,2,1,0
30,2,1,1,1,1,2,0,2,1,0
18,2,1,1,1,1,1,0,1,2,0
24,2,1,1,1,1,1,0,1,2,0
18,1,1,1,1,1,1,0,1,1,0
28,1,1,1,1,1,1,0,2,1,0
60,1,1,1,1,1,1,0,1,1,0
19,1,1,1,1,1,1,0,1,1,0
32,1,1,1,1,1,1,0,1,2,0
18,2,1,1,1,1,1,0,1,2,0
60,1,1,1,1,1,1,0,1,1,0
40,2,1,1,2,1,1,0,1,1,0
28,2,1,1,1,2,1,0,1,2,0
60,2,1,1,1,2,1,0,2,2,0
23,2,1,1,1,2,1,0,2,2,0
40,2,1,1,1,2,1,0,2,2,0
35,1,1,1,1,2,1,0,2,2,0
35,1,1,1,1,2,1,0,2,1,0
36,1,1,1,1,2,1,0,1,2,0
38,1,1,1,1,2,1,0,2,2,0
35,1,1,1,1,2,1,0,2,2,0
22,2,1,1,1,2,1,0,1,1,0
18,1,1,1,1,1,1,0,2,2,0
54,2,1,1,1,1,1,0,1,1,0
18,2,1,1,1,1,1,0,2,1,0
32,2,1,1,1,1,1,0,2,1,0
18,2,1,1,1,1,1,0,1,1,0
45,2,2,2,2,2,2,0,2,2,0
34,1,1,2,1,1,1,0,2,2,0
45,1,1,2,2,1,2,0,2,2,0
30,1,2,1,1,1,2,0,2,2,0
50,2,1,2,2,1,2,0,2,2,0
45,2,2,2,2,1,1,0,1,2,0
58,1,1,1,1,2,1,0,1,1,0
55,1,1,1,1,1,1,0,1,2,0
28,2,2,1,2,1,2,0,2,2,0
38,1,1,1,1,1,1,0,1,2,0
30,1,1,2,2,1,1,0,1,2,0
49,2,1,1,2,2,1,0,1,2,0
22,1,1,1,1,2,1,0,1,2,0
61,1,1,1,1,1,1,0,1,2,0
52,1,1,2,1,2,1,0,1,2,0
43,1,1,1,1,2,1,0,1,2,0
23,1,1,1,1,2,1,0,1,2,0
52,1,1,1,1,2,1,0,1,2,0
50,1,1,1,1,2,1,0,1,2,0
20,2,1,1,1,2,1,0,1,2,0
19,1,1,1,1,2,1,0,1,2,0
40,1,1,1,1,2,1,0,1,2,0
18,1,1,1,1,2,1,0,1,2,0
43,2,1,1,1,2,1,0,1,2,0
46,2,1,2,2,1,2,0,1,2,0
22,2,2,1,2,2,2,0,2,2,0
45,1,1,1,1,1,1,0,2,1,0
34,2,1,1,2,2,1,0,2,2,0
36,1,1,1,1,2,1,0,2,2,0
43,1,1,1,1,2,1,0,1,2,0
59,2,1,1,1,2,1,0,2,2,0
50,1,1,1,1,1,1,0,2,2,0
60,2,1,1,2,2,1,0,1,2,0
23,1,1,1,2,2,2,0,2,2,0
25,1,1,1,1,2,2,0,2,2,0
56,1,1,1,1,2,1,0,2,2,0
40,2,1,1,2,2,1,2,1,2,1
47,1,1,1,1,1,1,0,1,2,0
62,2,1,1,1,1,1,0,1,2,0
27,1,1,2,1,2,1,0,2,2,0
47,2,1,1,1,1,1,0,1,2,0
24,1,1,1,1,1,1,0,2,2,0
26,1,1,1,1,1,1,0,2,2,0
18,2,1,1,2,2,1,0,1,1,0
45,2,1,2,1,1,2,0,1,2,0
50,1,1,1,2,1,1,0,1,2,0
38,1,1,1,1,1,2,0,1,2,0
64,1,1,1,1,1,1,0,1,2,0
29,1,1,2,1,1,1,0,1,2,0
32,1,1,1,1,2,1,0,1,2,0
28,2,1,2,2,2,1,0,1,2,0
32,1,1,1,1,2,1,0,2,2,0
58,1,1,1,1,2,1,0,2,1,0
35,2,2,1,2,1,2,0,2,2,0
25,1,2,2,2,1,2,0,1,2,0
23,1,2,2,2,2,2,0,2,1,0
42,2,1,1,2,2,2,0,2,2,0
42,2,1,2,2,2,2,0,2,2,0
52,2,1,2,2,2,1,0,2,2,0
35,1,1,2,2,2,1,0,2,2,0
41,1,1,2,2,2,2,0,2,2,0
46,2,1,1,1,1,1,0,2,2,0
34,1,1,1,1,1,1,0,1,1,0
29,1,1,2,1,2,1,0,2,1,0
28,2,1,2,1,1,1,0,2,2,0
32,2,1,2,2,1,1,0,2,2,0
30,2,2,2,2,1,1,0,2,2,0
30,2,2,2,1,1,2,0,2,1,0
30,2,1,2,1,1,1,0,2,2,0
25,2,1,1,1,1,1,0,2,2,0
25,2,1,1,1,2,1,0,2,2,0
22,2,2,2,1,2,1,0,2,2,0
33,2,1,2,1,2,1,0,2,2,0
21,2,1,1,1,2,1,0,2,2,0
24,2,2,1,2,1,1,0,2,1,0
26,2,1,2,2,1,1,0,2,2,0
19,2,1,1,1,2,1,0,2,2,0
24,2,1,1,1,1,1,0,2,1,0
47,2,2,2,2,2,1,0,2,2,0
43,1,1,2,1,2,1,0,2,2,0
21,2,2,1,1,2,1,0,2,2,0
53,1,1,1,2,2,1,0,2,2,0
53,1,1,1,2,2,1,0,2,2,0
30,2,1,2,2,2,1,0,2,2,0
25,1,1,1,1,1,2,0,2,2,0
31,2,1,2,1,2,1,0,2,1,0
43,2,1,1,1,1,1,0,2,2,0
28,1,2,2,2,1,2,4,2,2,1
41,2,2,1,2,1,1,0,1,2,0
63,2,1,2,2,1,1,0,2,1,0
19,2,1,2,1,2,1,0,1,2,0
30,1,1,1,1,2,1,0,2,2,0
62,1,1,1,1,2,1,0,1,2,0
58,2,1,1,1,1,1,0,2,1,0
33,1,1,2,1,1,1,0,1,2,0
38,1,2,2,1,1,1,0,2,1,0
18,2,2,2,1,2,1,0,1,1,0
22,2,1,2,2,1,1,0,2,2,0
20,1,1,1,2,1,1,0,2,2,0
30,1,2,1,1,2,1,0,1,2,0
30,2,1,1,2,2,1,0,2,2,0
41,2,1,2,2,1,2,0,2,2,0
55,2,1,1,1,1,1,0,2,2,0
30,1,1,1,1,1,1,0,2,2,0
53,1,1,1,1,1,1,0,2,2,0
64,2,1,1,2,2,1,0,1,2,0
32,1,1,1,1,1,1,0,1,2,0
44,1,1,1,1,1,1,0,2,2,0
62,2,1,2,1,1,1,0,2,2,0
19,2,1,2,1,1,1,0,2,2,0
56,2,2,2,2,1,1,0,2,2,0
60,1,1,1,1,2,1,0,1,2,0
34,1,1,2,1,2,1,0,1,1,0
45,1,1,2,1,2,1,0,1,1,0
46,1,1,2,1,2,1,0,1,1,0
35,1,2,2,2,2,1,0,1,2,0
38,2,1,2,2,1,1,0,1,2,0
25,2,1,2,2,1,1,0,2,2,0
20,1,1,1,1,2,1,0,1,2,0
55,1,1,1,1,1,1,0,2,2,0
21,1,1,1,1,2,1,0,2,2,0
35,1,1,1,1,2,1,0,2,2,0
29,1,2,2,2,2,1,0,2,2,0
58,2,1,2,2,1,1,0,2,2,0
38,1,1,2,2,1,1,0,2,2,0
45,2,2,2,2,1,2,0,2,2,0
58,1,1,2,2,2,1,0,2,2,0
33,2,1,2,1,2,1,0,2,1,0
18,1,1,2,2,1,1,0,2,2,0
22,2,1,1,1,2,1,0,2,2,0
51,1,1,1,1,2,1,0,1,2,0
32,1,1,2,1,2,1,0,2,2,0
18,2,2,1,2,1,1,0,2,2,0
63,1,1,1,1,1,1,0,2,2,0
55,1,1,1,1,2,1,0,2,2,0
55,2,1,2,1,1,1,0,2,2,0
50,2,2,2,2,2,1,0,2,2,0
48,1,2,2,2,2,1,0,2,2,0
34,2,1,1,2,2,1,0,2,2,0
27,1,1,2,2,2,1,0,2,2,0
53,2,1,1,1,1,1,0,2,2,0
33,1,1,2,2,2,1,0,2,2,0
19,2,1,2,1,1,1,0,2,2,0
31,2,2,2,2,1,1,0,2,2,0
20,2,1,1,2,1,1,0,2,1,0
18,2,1,2,1,1,1,0,2,1,0
18,2,1,2,1,1,1,0,2,2,0
36,2,1,1,2,1,1,0,2,2,0
23,2,1,1,2,1,1,0,2,2,0
40,1,1,1,1,1,1,0,2,2,0
39,1,1,1,2,1,1,0,2,2,0
38,2,1,1,2,1,1,0,2,2,0
29,2,1,1,2,1,1,0,2,2,0
38,2,1,1,2,1,1,0,2,1,0
24,2,1,1,2,1,1,0,2,2,0
61,1,1,1,1,2,1,0,1,1,0
60,1,1,1,1,2,1,0,1,1,0
42,2,1,1,1,2,1,0,1,1,0
22,1,1,1,1,2,1,0,2,1,0
32,1,1,1,1,2,1,0,2,1,0
52,1,1,1,1,2,1,0,1,1,0
